,Neighbourhood,Community_Area,Longitude,Latitude
98,Jackson Park Highlands,South Shore,-87.5700927782457,41.76265045
99,Jefferson Park,Jefferson Park,-87.7631179,41.9697375
100,K-Town,North Lawndale,-87.7183883,41.8600324
101,Kelvyn Park,Hermosa,-87.7345019,41.928643
102,Kennedy Park,Morgan Park,-87.6667156,41.6903117
103,Kensington,Roseland,-87.625881,41.7019787
104,Kenwood,Kenwood,-87.5979908,41.8091444
105,Kilbourn Park,Irving Park,-87.7364471,41.953365
106,Kosciuszko Park,Logan Square,-87.7067641113273,41.9283996
107,Lake Meadows,Douglas,-87.6179536,41.8348565
108,Lake View,Lake View,-87.6554287829005,41.94705
109,Lake View East,Lake View,-87.6554287829005,41.94705
110,Lakewood / Balmoral,Edgewater,-87.6639516,41.9833689
111,LeClaire Courts,Garfield Ridge,-87.7454943668633,41.803617
112,Legends South (Robert Taylor Homes),Grand Boulevard,-87.6172724,41.8139226
113,Lilydale,Roseland,-87.625881,41.7019787
114,Lincoln Park,Lincoln Park,-87.6381171054176,41.94029765
116,Lithuanian Plaza,Chicago Lawn,-87.6964408,41.7750332
117,Little Italy,Near West Side,-87.6667624,41.8800656
118,Little Village,South Lawndale,-87.7125544,41.8436437
119,Logan Square,Logan Square,-87.7067641113273,41.9283996
120,Longwood Manor,Washington Heights,-87.65616,41.7064229
121,The Loop,The Loop,-87.6244212,41.8755616
122,Lower West Side,Lower West Side,-87.6656086,41.8541996
123,Loyola,Rogers Park,-87.6707481966481,42.01053135
124,Magnificent Mile,Near North Side,-87.6344975,41.9000327
125,Margate Park,Uptown,-87.6555458,41.9666299
126,Marquette Park,Chicago Lawn,-87.6964408,41.7750332
127,Marshall Square,South Lawndale,-87.7125544,41.8436437
128,Marynook,Avalon Park,-87.5886584,41.7450346
129,Mayfair,Albany Park,-87.7161739,41.9719367
130,McKinley Park,McKinley Park,-87.6736638,41.8316997
131,Merchant Park,Irving Park,-87.7364471,41.953365
132,Montclare,Montclare,-87.8008931,41.9253091
133,Morgan Park,Morgan Park,-87.6667156,41.6903117
134,Mount Greenwood,Mount Greenwood,-87.7086616,41.6980891
135,Museum Campus,Near South Side,-87.6247738,41.8566999
136,New Eastside,The Loop,-87.6244212,41.8755616
137,Near North Side,Near North Side,-87.6344975,41.9000327
138,Near West Side,Near West Side,-87.6667624,41.8800656
139,New Chinatown,Uptown,-87.6555458,41.9666299
140,New City,New City,-87.6564403,41.8075333
141,Noble Square,West Town,-87.6861661,41.9014213
142,North Austin,Austin,-87.7648508,41.8878759
143,North Center,North Center,-87.6791596,41.9561073
144,North Halsted,Lake View,-87.6554287829005,41.94705
145,North Kenwood,Kenwood,-87.5979908,41.8091444
146,North Lawndale,North Lawndale,-87.7183883,41.8600324
147,North Mayfair,Albany Park,-87.7161739,41.9719367
148,North Park,North Park,-87.7229343538787,41.98495475
149,Nortown,West Ridge,-87.6962426,42.0035482
150,Norwood Park East,Norwood Park,-87.8005772013227,41.9855895
151,Norwood Park West,Norwood Park,-87.8005772013227,41.9855895
152,Oakland,Oakland,-87.6082424,41.8236535
153,O'Hare,O'Hare,-87.9067678854723,41.97310105
154,Old Edgebrook,Forest Glen,-87.7516732983677,41.99175155
155,Old Irving Park,Irving Park,-87.7364471,41.953365
156,Old Norwood,Norwood Park,-87.8005772013227,41.9855895
157,Old Town,Near North Side,-87.6344975,41.9000327
158,Old Town Triangle,Lincoln Park,-87.6381171054176,41.94029765
159,Oriole Park,Norwood Park,-87.8005772013227,41.9855895
160,Palmer Square,Logan Square,-87.7067641113273,41.9283996
161,Park Manor,Greater Grand Crossing,-87.6003196082787,41.76258065
162,Park West,Lincoln Park,-87.6381171054176,41.94029765
163,Parkview,Ashburn,-87.7111628,41.7475332
164,Peterson Park,West Ridge,-87.6962426,42.0035482
165,Pill Hill,Calumet Heights,-87.5792134,41.7300347
166,Pilsen,Lower West Side,-87.6656086,41.8541996
167,Polish Downtown,Logan Square,-87.7067641113273,41.9283996
168,Polish Village,Irving Park,-87.7364471,41.953365
169,Portage Park,Portage Park,-87.7650594,41.9578093
170,Prairie Avenue Historic District,Near South Side,-87.6247738,41.8566999
171,Prairie Shores,Douglas,-87.6179536,41.8348565
172,Princeton Park,Roseland,-87.625881,41.7019787
173,Printer's Row,The Loop,-87.6244212,41.8755616
174,Pulaski Park,West Town,-87.6861661,41.9014213
175,Pullman,Pullman,-87.6066039,41.6922182
176,Ranch Triangle,Lincoln Park,-87.6381171054176,41.94029765
177,Ravenswood,Ravenswood,-87.6667239,41.9655913
178,Ravenswood Gardens,Ravenswood Gardens,-87.695167,41.9639574
179,Ravenswood Manor,Albany Park,-87.7161739,41.9719367
